Linux 6.16.0-1002-asahi-arm (onosendai) 	03/20/2026 	_aarch64_	(10 CPU)

10:28:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:42 AM  all    3.87    0.00    1.21   16.95    0.00    0.00    0.00    0.00    0.00   77.97
10:28:42 AM    0    1.51    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.49
10:28:42 AM    1    1.50    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.50
10:28:42 AM    2    5.05    0.00    1.52   22.73    0.00    0.00    0.00    0.00    0.00   70.71
10:28:42 AM    3    5.03    0.00    1.51   11.06    0.00    0.00    0.00    0.00    0.00   82.41
10:28:42 AM    4    6.60    0.00    1.52   57.36    0.00    0.00    0.00    0.00    0.00   34.52
10:28:42 AM    5    6.53    0.00    2.01    0.50    0.00    0.00    0.00    0.00    0.00   90.95
10:28:42 AM    6    4.04    0.00    1.52   58.08    0.00    0.00    0.00    0.00    0.00   36.36
10:28:42 AM    7    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
10:28:42 AM    8    3.03    0.00    0.51   20.71    0.00    0.00    0.00    0.00    0.00   75.76
10:28:42 AM    9    1.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.00

10:28:42 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:44 AM  all    2.01    0.00    0.70   19.79    0.00    0.00    0.00    0.00    0.00   77.50
10:28:44 AM    0    6.60    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   92.39
10:28:44 AM    1    0.50    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.49
10:28:44 AM    2    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.99
10:28:44 AM    3    2.01    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.49
10:28:44 AM    4    1.00    0.00    1.00   98.01    0.00    0.00    0.00    0.00    0.00    0.00
