procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  1      0 53190288 260048 6537728    0    0   230    98 1920    3  2  1 97  1  0  0
 0  2      0 52944272 260048 6538752    0    0    18   142 7693 10626  4  1 78 17  0  0
 2  2      0 52940192 260048 6538752    0    0     0     0 3829 4620  2  1 77 20  0  0
 2  2      0 52936592 260048 6538784    0    0     0  3894 3024 3557  2  1 78 20  0  0
 0  2      0 52929776 260048 6538784    0    0     0    42 2122 2540  1  0 79 20  0  0
 0  2      0 52964432 260048 6538800    0    0     0     0  969  934  1  0 79 20  0  0
 0  2      0 52967872 260048 6538800    0    0     0     0 1414 1577  0  0 79 20  0  0
 2  2      0 52968064 260048 6538816    0    0     0    10  570  583  0  0 80 20  0  0
 2  2      0 52967824 260048 6538816    0    0     0     0 1289 1689  0  0 80 20  0  0
 2  2      0 52967824 260048 6538816    0    0     0    94 1348 1510  1  0 79 20  0  0
 2  2      0 52980816 260048 6538864    0    0     0     8 1215 1383  0  0 79 20  0  0
 1  2      0 52980816 260048 6538864    0    0     0     0  726  774  0  0 80 20  0  0
 2  2      0 52980816 260048 6538880    0    0     0     0  596  594  0  0 80 20  0  0
 2  2      0 52980816 260048 6538880    0    0     0    12  810  828  0  0 80 20  0  0
 2  2      0 52980816 260048 6538896    0    0     0     0  679  702  0  0 80 20  0  0
 2  2      0 52980816 260048 6538912    0    0     0     0 1581 2054  1  0 79 20  0  0
 2  0      0 53194656 260048 6538944    0    0     0   106 1419 1712  0  0 92  8  0  0
 1  0      0 53194656 260048 6538976    0    0     0     0  640  656  0  0 100  0  0  0
 1  0      0 53194656 260048 6538976    0    0     0   252  744  790  0  0 100  0  0  0
 1  0      0 53194656 260048 6538992    0    0     0     0  576  607  0  0 100  0  0  0
 2  0      0 53194656 260048 6538992    0    0     0     0  654  685  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0 52973184 260048 6539024    0    0     0    18 3634 4906  2  1 88 10  0  0
 2  2      0 52979088 260048 6539024    0    0     0   472  621  650  0  0 80 20  0  0
 2  2      0 52948608 260048 6539024    0    0     0     0 1903 2736  1  0 79 20  0  0
 2  2      0 52948608 260048 6539040    0    0     0    10  764  784  0  0 80 20  0  0
 2  2      0 52975456 260048 6539056    0    0     0     0 1057 1107  1  0 79 20  0  0
 1  2      0 52986256 260048 6539056    0    0     0    56  601  623  0  0 80 20  0  0
 2  2      0 52986256 260048 6539056    0    0     0   614  639  687  0  0 80 20  0  0
 1  2      0 52972000 260048 6539088    0    0     0     0  755  728  0  0 80 20  0  0
 2  2      0 52978656 260048 6539104    0    0     0     0 1127 1239  0  0 80 20  0  0
 3  2      0 52986400 260048 6539104    0    0     0     6 1398 1840  0  0 80 20  0  0
 2  2      0 52985632 260048 6539120    0    0     0     0 1460 1554  0  0 80 20  0  0
 2  2      0 52985488 260048 6539136    0    0     0    94 1709 1668  1  0 79 20  0  0
 2  2      0 52985488 260048 6539152    0    0     0    14  725  760  0  0 80 20  0  0
 1  2      0 52985488 260048 6539152    0    0     0     0  744  861  0  0 80 20  0  0
 1  2      0 52985952 260048 6539168    0    0     0     0  704  729  0  0 80 20  0  0
 2  2      0 52976816 260048 6539184    0    0     0   506 4648 6870  2  1 80 18  0  0
 1  2      0 52907760 260048 6539184    0    0     0     0 1699 2312  1  0 80 20  0  0
 1  2      0 52907760 260048 6539200    0    0     0     0 1284 1706  0  0 79 20  0  0
 2  2      0 52907760 260048 6539200    0    0     0    10  769  781  0  0 80 20  0  0
 1  2      0 52937024 260048 6539216    0    0     0    42 1202 1296  1  0 79 20  0  0
 1  2      0 52935824 260048 6539232    0    0     0     0  691  693  0  0 80 20  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
